@relation sviPodaci

@attribute potrosnja numeric
@attribute ucestalost numeric
@attribute redovnostPlacanja numeric
@attribute reklamacije numeric
@attribute kominikacija numeric
@attribute preporuke numeric
@attribute vremenskiKupac numeric
@attribute lojalnost {nelojalan,bronzana,srebrna,zlatna,dijamantska}

@data
47532.64,5,0.44,0.81,1,1,3,nelojalan
21079.1,4,0.97,0.13,1,1,4,nelojalan
15389.23,3,0.54,0.2,1,3,5,nelojalan
10799.39,2,0.79,0.62,1,2,4,nelojalan
22874.26,3,0.33,0.5,1,2,5,nelojalan
10898.16,2,0.28,0.64,1,5,4,nelojalan
52800.0,1,0.42,0.71,1,3,1,nelojalan
305999.64,7,0.27,0.62,0,0,2,nelojalan
6268.32,2,0.06,0.99,0,2,5,nelojalan
4110.24,1,0.49,0.07,1,7,6,bronzana
15115.28,3,0.28,0.39,1,7,6,bronzana
13109.68,1,0.95,0.73,0,1,4,nelojalan
16735.22,3,0.88,0.48,0,5,3,nelojalan
11458.0,2,0.55,0.19,1,6,3,nelojalan
36001.51,5,0.14,0.54,0,1,6,nelojalan
25609.12,3,0.03,0.13,0,4,7,nelojalan
157411.24,15,0.73,0.02,1,0,2,nelojalan
25697.44,4,0.56,0.73,1,5,4,nelojalan
6151.84,1,0.62,0.58,0,0,0,nelojalan
23201.85,4,0.43,0.69,0,2,6,nelojalan
16251.69,3,0.27,0.74,0,5,3,nelojalan
9292.92,2,0.08,0.61,1,0,0,nelojalan
6076.03,1,0.57,0.82,1,4,6,nelojalan
29614.3,5,0.62,0.27,0,5,7,nelojalan
15615.14,3,0.38,0.89,1,4,3,nelojalan
11125.83,4,0.07,0.64,0,5,3,nelojalan
27855.08,5,0.18,0.52,1,7,4,bronzana
52504.18,4,0.69,0.7,1,5,7,nelojalan
33794.4,4,0.9,0.93,1,3,4,nelojalan
29510.88,3,0.44,0.56,0,7,1,bronzana
1695.0,1,0.5,0.99,0,4,3,nelojalan
12116.16,2,0.19,0.31,1,6,5,nelojalan
29643.68,6,0.44,0.54,1,5,6,nelojalan
27778.48,4,0.62,0.8,1,7,1,bronzana
22975.25,4,0.78,0.37,0,5,3,nelojalan
12060.64,2,0.06,0.47,1,3,6,nelojalan
5120.78,2,0.97,0.22,0,2,4,nelojalan
15849.69,3,0.65,0.68,0,0,1,nelojalan
11349.56,2,0.34,0.75,1,2,4,nelojalan
7334.43,2,0.77,0.72,0,3,7,nelojalan
36021.0,4,0.84,0.36,1,0,2,nelojalan
9461.52,3,0.86,0.63,0,0,3,nelojalan
12297.16,2,0.81,0.09,1,3,5,nelojalan
17925.54,4,0.46,0.54,0,6,5,nelojalan
22428.75,4,0.87,0.45,1,6,6,nelojalan
206555.44,3,0.96,0.63,0,6,5,nelojalan
14908.2,3,0.21,0.79,0,2,1,nelojalan
9291.6,1,0.15,0.06,0,1,6,nelojalan
217281.35,7,0.12,0.94,0,6,1,nelojalan
33473.7,4,0.14,0.53,0,5,7,nelojalan
49030.15,7,0.33,0.81,1,6,7,nelojalan
10704.0,2,0.26,0.47,1,7,6,bronzana
12558.0,2,0.28,0.92,1,3,3,nelojalan
13301.08,2,0.63,0.19,0,1,5,nelojalan
46557.0,7,0.33,0.19,1,3,6,nelojalan
21518.52,4,0.76,0.36,0,7,2,bronzana
473458.9,26,0.81,0.24,1,2,1,bronzana
16347.59,3,0.78,0.11,1,4,0,nelojalan
8260.12,2,0.47,0.86,1,6,3,nelojalan
29021.43,3,0.02,0.95,1,3,0,nelojalan
17250.0,1,0.66,0.16,0,4,1,nelojalan
7069.56,2,0.27,0.94,1,6,4,nelojalan
9021.36,1,0.34,0.23,1,2,2,nelojalan
5526.03,1,0.92,0.32,1,2,5,nelojalan
34370.83,5,0.57,0.91,0,2,4,nelojalan
3477.19,1,0.07,0.6,1,6,5,nelojalan
137111.04,5,0.66,0.27,1,0,4,nelojalan
63015.7,3,0.1,0.53,1,6,1,nelojalan
9475.0,2,0.52,0.86,0,5,6,nelojalan
14060.97,3,0.29,0.7,0,0,6,nelojalan
3989.8,1,0.88,0.93,0,2,2,nelojalan
15085.33,3,0.55,0.54,0,4,4,nelojalan
80731.7,11,0.11,0.93,1,4,3,nelojalan
39412.12,7,0.88,0.04,0,0,6,nelojalan
11897.4,2,0.09,0.38,1,5,7,nelojalan
43032.33,8,0.82,0.8,0,1,7,nelojalan
63384.54,5,0.83,0.83,1,5,7,nelojalan
39715.16,6,0.67,0.77,1,0,5,nelojalan
27202.66,4,0.88,0.38,0,2,7,nelojalan
5250.75,1,0.39,0.56,1,0,2,nelojalan
11605.36,2,0.29,0.69,1,4,6,nelojalan
11947.0,2,0.29,0.74,1,5,2,nelojalan
6600.0,1,0.56,0.66,0,6,1,nelojalan
4940.16,1,0.96,0.06,0,0,6,nelojalan
8243.32,1,0.09,0.31,0,4,4,nelojalan
29150.4,2,0.6,0.4,0,7,2,bronzana
6600.0,1,0.73,0.04,1,7,0,bronzana
36000.0,6,0.83,0.0,0,6,3,nelojalan
88211.67,8,0.98,0.9,0,0,0,nelojalan
11653.68,2,0.41,0.51,0,1,7,nelojalan
22054.14,3,0.11,0.84,0,6,4,nelojalan
5292.64,1,0.3,0.66,1,4,5,nelojalan
17512.32,2,0.19,0.77,1,1,0,nelojalan
13026.08,2,0.05,0.87,0,1,0,nelojalan
30579.48,3,0.7,0.03,1,4,3,nelojalan
9880.32,2,0.31,0.57,0,0,5,nelojalan
19516.92,3,0.48,0.76,0,5,2,nelojalan
3637.2,1,0.48,0.08,0,1,3,nelojalan
1374587.16,31,0.93,0.1,0,0,2,bronzana
8304.4,2,0.24,0.28,0,6,2,nelojalan
33007.38,5,0.4,0.1,1,5,2,nelojalan
25308.13,5,0.29,0.66,0,0,5,nelojalan
20477.41,4,0.23,0.02,0,1,5,nelojalan
38697.72,3,0.3,0.09,1,7,0,bronzana
14199.0,1,0.82,0.42,1,0,3,nelojalan
-8373.44,1,0.2,0.81,0,3,6,nelojalan
27577.2,5,0.53,0.78,0,1,5,nelojalan
5180.16,1,0.03,0.5,0,6,2,nelojalan
38266.34,5,0.58,0.15,0,0,4,nelojalan
43162.86,6,0.82,0.23,0,7,7,bronzana
23097.96,2,0.36,0.69,1,4,0,nelojalan
8496.33,2,0.35,0.79,0,0,1,nelojalan
9456.64,2,0.65,0.88,1,2,0,nelojalan
10658.76,2,0.21,0.01,1,6,4,nelojalan
17527.46,3,0.08,0.44,0,6,6,nelojalan
13784.49,3,0.77,0.15,1,4,0,nelojalan
12315.04,2,0.63,0.46,0,4,2,nelojalan
12693.85,2,0.82,0.81,0,2,0,nelojalan
106900.0,3,0.2,0.69,1,5,3,nelojalan
57429.33,5,0.57,0.01,1,4,7,nelojalan
3096.03,1,0.23,0.98,0,6,4,nelojalan
19970.11,3,0.43,0.89,1,1,0,nelojalan
26843.38,3,0.46,0.48,1,4,3,nelojalan
4383.69,1,0.99,0.73,0,3,7,nelojalan
8585.2,2,0.62,0.23,0,4,3,nelojalan
811084.72,10,0.12,0.93,1,4,2,nelojalan
19907.41,4,0.71,0.99,0,6,1,nelojalan
12328.04,1,0.22,0.14,0,5,0,nelojalan
86193.0,2,0.97,0.74,0,0,4,nelojalan
8293.63,2,0.18,0.29,0,7,4,bronzana
43529.7,5,0.98,0.23,0,5,0,nelojalan
73074.8,3,0.38,0.29,1,3,5,nelojalan
9314.36,2,0.93,0.74,1,2,4,nelojalan
160426.27,29,0.55,0.85,0,3,2,bronzana
109248.15,19,0.93,0.01,1,7,0,bronzana
18372.23,3,0.0,0.5,1,4,1,nelojalan
35920.77,7,0.23,0.47,1,5,5,nelojalan
14207.4,3,0.13,0.87,1,7,0,bronzana
16848.08,4,0.95,0.94,1,4,7,nelojalan
28156.22,5,0.39,0.1,1,2,7,nelojalan
39820.32,5,0.07,0.67,1,4,4,nelojalan
18768.04,3,0.21,0.05,0,5,6,nelojalan
151786.6,13,0.83,0.25,0,0,6,nelojalan
27501.72,2,0.53,0.09,0,7,4,bronzana
41236.57,8,0.14,0.7,0,6,1,nelojalan
4143425.9,1,0.1,0.23,1,0,3,nelojalan
4952.8,1,0.11,0.06,0,6,5,nelojalan
30370.96,3,0.25,0.61,0,7,7,bronzana
142399.8,6,0.89,0.85,1,2,6,nelojalan
5898.08,1,0.73,0.44,0,4,2,nelojalan
157864.68,9,0.96,0.64,0,6,1,nelojalan
18296.22,3,0.61,0.9,0,2,1,nelojalan
22322.31,3,0.16,0.58,0,3,7,nelojalan
15925.48,2,0.0,0.19,1,0,1,nelojalan
27218.1,3,0.51,0.22,1,0,1,nelojalan
20211.65,4,0.53,0.54,1,2,4,nelojalan
13052.7,3,0.14,0.05,0,3,2,nelojalan
54942.44,4,0.11,0.61,1,0,7,nelojalan
28009.96,6,0.12,0.91,0,1,6,nelojalan
10068.24,1,0.28,0.73,1,5,0,nelojalan
-6530.68,4,0.05,0.91,1,4,7,nelojalan
3583.01,1,0.4,0.38,0,0,2,nelojalan
135342.54,12,0.84,0.15,1,5,7,nelojalan
15221.72,2,0.01,0.63,0,1,4,nelojalan
18262.16,3,0.54,0.68,1,7,6,bronzana
48666.26,4,0.66,0.52,1,7,5,bronzana
24812.36,3,0.66,0.56,0,0,6,nelojalan
201641.64,2,0.34,0.25,1,3,2,nelojalan
33904.74,5,0.7,0.56,1,5,0,nelojalan
64366.74,10,0.51,0.05,1,4,2,nelojalan
45438.48,5,0.43,0.58,0,5,1,nelojalan
31555.68,3,0.64,0.75,0,6,7,nelojalan
50196.89,7,0.9,0.99,0,6,1,nelojalan
36593.92,8,0.57,0.74,1,5,7,nelojalan
62616.29,8,0.15,0.7,0,0,2,nelojalan
35139.34,6,0.04,0.31,0,3,7,nelojalan
3964.11,1,0.75,0.42,0,5,5,nelojalan
54370.66,8,0.65,0.17,1,2,5,nelojalan
13221.12,4,0.99,0.61,0,3,1,nelojalan
34307.6,7,0.99,0.55,1,1,0,nelojalan
8877.34,2,0.03,0.91,1,5,5,nelojalan
4824.08,1,0.14,0.9,0,5,1,nelojalan
196023.45,22,0.61,0.79,0,2,7,bronzana
11415.92,2,0.63,0.21,1,6,2,nelojalan
34329.76,5,0.34,0.71,0,5,4,nelojalan
43717.55,19,0.81,0.93,0,3,0,bronzana
51799.74,5,0.01,0.51,0,6,4,nelojalan
20453.48,4,0.64,0.75,0,0,6,nelojalan
20158.46,2,0.16,0.24,1,6,0,nelojalan
60107.93,8,0.86,0.95,0,7,5,bronzana
9305.08,2,0.85,0.02,0,3,5,nelojalan
13417.5,3,0.67,0.27,1,7,1,bronzana
18440.9,3,0.78,0.27,0,4,5,nelojalan
4915.08,1,0.89,0.55,1,1,1,nelojalan
5520.09,1,0.13,0.93,1,2,3,nelojalan
8913.72,2,0.96,0.02,0,6,0,nelojalan
6194.75,2,0.4,0.3,0,2,7,nelojalan
15934.13,2,0.15,0.44,0,7,4,bronzana
25820.88,4,0.53,0.29,0,7,7,bronzana
15378.59,3,0.2,0.14,0,6,1,nelojalan
20245.41,4,0.42,0.83,1,0,1,nelojalan
8461.37,4,0.52,0.74,0,1,1,nelojalan
15337.92,2,0.3,0.19,0,6,1,nelojalan
19997.44,3,0.97,0.73,0,4,5,nelojalan
14954.48,3,0.93,0.1,0,3,7,nelojalan
20550.4,3,0.75,0.32,0,1,3,nelojalan
5433.28,1,0.96,0.27,0,7,2,bronzana
12450.6,3,0.53,0.4,1,1,3,nelojalan
17755.72,3,0.79,0.2,0,1,3,nelojalan
2213.36,1,0.34,0.8,0,2,4,nelojalan
289197.85,32,0.33,0.39,0,1,2,bronzana
20780.16,3,0.65,0.57,1,4,0,nelojalan
47425.8,5,0.25,0.69,0,4,4,nelojalan
75629.4,7,0.32,0.72,1,6,4,nelojalan
47817.38,4,0.82,0.54,1,3,1,nelojalan
25938.0,5,0.16,0.53,1,5,0,nelojalan
24430.84,6,0.34,0.02,0,7,5,bronzana
85337.35,5,0.2,0.52,0,7,1,bronzana
19248.22,3,0.99,0.53,0,4,7,nelojalan
7531.0,1,0.33,0.1,0,0,7,nelojalan
54842.44,7,0.71,0.92,0,5,0,nelojalan
32227.03,5,0.55,0.3,0,7,2,bronzana
136610.8,7,0.61,0.72,0,0,4,nelojalan
35067.46,5,0.41,0.71,1,2,4,nelojalan
75987.0,6,0.21,0.38,0,3,2,nelojalan
43562.19,6,0.84,0.79,0,7,0,bronzana
21789.12,4,0.57,0.79,0,5,7,nelojalan
756178.8,5,0.34,0.6,0,5,7,nelojalan
4497.08,1,0.97,0.62,1,2,4,nelojalan
24206.16,3,0.86,0.32,0,3,7,nelojalan
37524.51,4,0.35,0.72,1,4,1,nelojalan
10777.66,2,0.19,0.66,1,0,2,nelojalan
42245.98,7,0.92,0.12,1,6,7,nelojalan
43275.2,9,0.01,0.64,0,5,6,nelojalan
18882.18,2,0.28,0.84,1,1,0,nelojalan
504000.0,4,0.36,0.25,1,7,1,bronzana
8218.73,2,0.99,0.77,1,1,4,nelojalan
12381.6,3,0.84,0.07,1,7,0,bronzana
628785.48,6,0.24,0.03,0,0,0,nelojalan
384635.1,58,0.66,0.96,1,3,5,bronzana
315333.51,4,0.61,0.71,1,7,2,bronzana
32595.93,5,0.07,0.68,1,3,6,nelojalan
55110.71,21,0.5,0.26,1,5,7,bronzana
41395.2,8,0.29,0.25,0,6,7,nelojalan
32965.07,6,0.96,0.5,0,6,2,nelojalan
13835.3,3,0.94,0.72,0,7,6,bronzana
55312.58,6,0.8,0.11,0,0,7,nelojalan
19156.32,2,0.17,0.4,0,4,2,nelojalan
29054.26,5,0.47,0.66,0,3,4,nelojalan
13689.76,3,0.84,0.1,1,6,6,nelojalan
6600.0,1,0.79,0.51,0,4,4,nelojalan
33035.76,7,0.43,0.24,1,1,3,nelojalan
22054.55,4,0.76,0.67,0,2,4,nelojalan
7202.2,2,0.51,0.65,0,7,4,bronzana
33000.0,3,0.29,0.24,0,4,0,nelojalan
29652.72,6,0.92,0.23,1,3,3,nelojalan
26471.02,9,0.73,0.43,0,0,2,nelojalan
56462.16,5,0.87,0.47,1,3,0,nelojalan
9857.84,2,0.17,0.07,1,5,3,nelojalan
40021.65,8,0.25,0.94,0,2,0,nelojalan
25629.88,4,0.72,0.48,1,3,7,nelojalan
9736.47,2,0.85,0.56,1,0,5,nelojalan
61160.26,7,0.11,0.39,1,0,5,nelojalan
4362.68,1,0.98,0.27,0,7,2,bronzana
8800.52,2,0.56,0.18,1,6,3,nelojalan
37465.73,7,0.86,0.07,0,1,0,nelojalan
12507.72,2,0.64,0.82,0,2,1,nelojalan
24937.6,5,0.63,0.88,1,1,5,nelojalan
20683.37,5,0.21,0.94,0,1,5,nelojalan
22152.25,3,0.14,0.08,0,0,3,nelojalan
16228.82,2,0.1,0.58,0,0,7,nelojalan
13581.47,3,0.09,0.65,1,6,5,nelojalan
33153.33,5,0.13,0.52,1,5,2,nelojalan
42349.4,6,0.38,0.63,0,3,6,nelojalan
31184.61,6,0.53,0.58,0,6,6,nelojalan
4305.07,1,0.49,0.04,1,5,4,nelojalan
25794.64,3,0.88,0.43,1,2,2,nelojalan
24515.93,5,0.94,0.06,1,1,7,nelojalan
22010.77,3,0.04,0.01,1,1,0,nelojalan
34295.76,9,0.39,0.84,1,0,2,nelojalan
18034.91,4,0.81,0.19,0,0,1,nelojalan
22468.96,4,0.88,0.41,1,6,0,nelojalan
52513.48,6,0.99,0.51,1,1,7,nelojalan
39215.49,6,0.33,0.29,0,2,2,nelojalan
55917.52,6,0.66,0.94,1,1,4,nelojalan
15723.36,3,0.31,0.82,1,7,0,bronzana
53958.08,4,0.58,0.28,0,2,3,nelojalan
6336.16,1,0.98,0.96,1,4,2,nelojalan
46990.53,7,0.13,0.96,0,6,2,nelojalan
9837.36,2,0.72,0.91,0,4,5,nelojalan
66777.4,7,0.22,0.67,1,4,1,nelojalan
2808.16,1,0.94,0.63,0,6,6,nelojalan
15487.05,3,0.05,0.13,1,3,4,nelojalan
25247.27,5,0.44,0.75,1,5,3,nelojalan
25653.24,5,0.04,0.38,0,1,2,nelojalan
6548.72,2,0.89,0.62,0,5,0,nelojalan
9377.66,2,0.31,0.99,0,6,6,nelojalan
16497.76,3,0.87,0.07,0,0,4,nelojalan
32182.82,7,0.44,0.39,1,0,5,nelojalan
20598.57,4,0.59,0.75,0,1,3,nelojalan
32370.32,7,0.64,0.55,1,5,1,nelojalan
31800.49,6,0.44,0.53,0,7,5,bronzana
25326.23,4,0.25,0.99,1,6,6,nelojalan
18949.15,3,0.96,0.39,0,6,6,nelojalan
26079.0,2,0.02,0.95,0,7,7,bronzana
11302.72,2,0.22,0.58,1,1,2,nelojalan
206600.8,6,0.06,0.04,1,2,3,nelojalan
9023.36,2,0.65,0.46,1,5,4,nelojalan
4619.16,1,0.05,0.2,1,6,3,nelojalan
35971.2,2,0.33,0.62,0,6,2,nelojalan
27806.56,3,0.46,0.51,0,4,4,nelojalan
16474.56,4,0.33,0.66,0,2,4,nelojalan
220063.87,29,0.28,0.78,1,6,2,bronzana
15761.68,2,0.39,0.93,0,0,6,nelojalan
8106.69,2,0.14,0.29,1,1,7,nelojalan
16903.12,3,0.49,0.68,0,4,4,nelojalan
12363.08,2,0.07,0.54,1,3,7,nelojalan
11835.02,2,0.85,0.65,1,1,7,nelojalan
6276.67,1,0.07,0.61,1,6,5,nelojalan
1568362.61,16,0.77,0.11,0,3,4,srebrna
8829.84,1,0.66,0.74,0,6,6,nelojalan
18159.0,2,0.99,0.36,0,7,5,bronzana
30130.56,3,0.98,0.58,1,0,4,nelojalan
6852.76,2,0.92,0.82,1,2,7,nelojalan
30701.88,3,0.66,0.38,0,2,1,nelojalan
9052.14,2,0.52,0.42,0,6,0,nelojalan
134201.39,17,0.63,0.95,1,0,6,bronzana
63876.42,11,0.59,0.51,0,0,6,nelojalan
11050.08,2,0.05,0.68,1,0,5,nelojalan
5280.0,1,0.5,0.89,1,7,0,bronzana
16917.61,3,0.34,0.4,0,2,0,nelojalan
19055.53,3,0.21,0.33,0,1,1,nelojalan
5589.2,1,0.04,0.44,0,5,7,nelojalan
199639.25,34,0.57,0.21,1,6,7,bronzana
5315.36,1,0.72,0.74,0,2,0,nelojalan
31065.49,5,0.89,0.06,1,5,5,nelojalan
6842.9,2,0.3,0.08,1,7,7,bronzana
258297.3,26,0.81,0.22,0,4,5,bronzana
9050.4,2,0.14,0.87,1,6,4,nelojalan
6279.0,1,0.28,0.67,0,3,0,nelojalan
11234.74,2,0.99,0.73,1,0,2,nelojalan
63440.4,5,0.1,0.65,1,4,3,nelojalan
17358.81,3,0.52,0.08,1,6,3,nelojalan
8564.32,2,0.32,0.43,1,4,4,nelojalan
1077332.4,5,0.02,0.91,1,1,6,nelojalan
5166.08,1,0.16,0.24,0,0,0,nelojalan
57260.48,6,0.75,0.5,1,6,1,nelojalan
276456.88,12,0.25,0.78,1,0,6,nelojalan
11868.25,2,0.99,0.4,1,7,1,bronzana
152802.01,11,0.19,0.67,0,2,7,nelojalan
33104.15,3,0.0,0.12,1,7,5,bronzana
38241.36,3,0.44,0.62,1,4,5,nelojalan
7497.72,1,0.19,0.71,0,2,3,nelojalan
13200.0,1,0.62,0.72,1,5,3,nelojalan
33792.85,4,0.54,0.46,0,5,3,nelojalan
4088.0,1,0.83,0.14,0,1,7,nelojalan
16751.42,3,0.54,0.3,0,6,2,nelojalan
21334.5,2,0.21,0.11,0,2,0,nelojalan
2450.4,1,0.43,0.63,1,2,1,nelojalan
766854.35,14,0.51,0.83,0,4,4,nelojalan
23392.04,3,0.26,0.25,0,1,3,nelojalan
18667.4,3,0.78,0.78,0,7,2,bronzana
4987.97,1,0.09,0.13,0,0,2,nelojalan
4536.32,1,0.15,0.32,0,5,3,nelojalan
17227.62,3,0.46,0.23,0,1,2,nelojalan
12380.31,2,0.86,0.16,0,5,0,nelojalan
12139.28,2,0.91,0.13,1,0,6,nelojalan
6600.0,1,0.99,0.15,0,1,5,nelojalan
31228.55,3,0.21,0.36,0,7,1,bronzana
5632.06,1,0.07,0.37,1,6,4,nelojalan
4405.26,1,0.72,0.78,1,4,2,nelojalan
63109.74,6,0.4,0.76,1,7,5,bronzana
14293.7,3,0.84,0.48,1,3,5,nelojalan
2678.96,2,0.98,0.13,0,2,2,nelojalan
46044.28,4,0.39,0.19,1,0,6,nelojalan
24948.86,4,0.02,0.58,0,3,6,nelojalan
6730.1,1,0.94,0.32,0,1,6,nelojalan
4135.52,1,0.62,0.84,0,4,3,nelojalan
54756.8,11,0.29,0.26,0,3,6,nelojalan
9393.28,2,0.6,0.78,1,1,6,nelojalan
23053.2,1,0.13,0.13,1,7,6,bronzana
32903.94,5,0.85,0.31,1,5,2,nelojalan
41231.36,5,0.85,0.16,0,7,3,bronzana
18929.0,2,0.71,0.85,0,5,7,nelojalan
35839.74,5,0.02,0.8,0,4,3,nelojalan
22847.68,4,0.93,0.43,1,5,1,nelojalan
15105.74,5,0.62,0.74,0,5,6,nelojalan
38122.63,8,0.29,0.4,0,3,5,nelojalan
14909.81,2,0.62,0.79,0,2,0,nelojalan
35490.94,5,0.2,0.77,0,3,7,nelojalan
11973.83,2,0.14,0.48,1,6,6,nelojalan
43361.87,6,0.12,0.06,0,6,2,nelojalan
24518.36,4,0.18,0.88,0,6,7,nelojalan
4330.21,1,0.53,0.24,1,4,4,nelojalan
13967.42,4,0.1,0.53,0,1,1,nelojalan
4545.36,1,0.94,0.95,1,2,0,nelojalan
6249.76,1,0.37,0.16,0,6,7,nelojalan
36629.14,6,0.03,0.94,0,3,2,nelojalan
29315.78,4,0.03,0.24,0,4,5,nelojalan
26013.06,4,0.09,0.37,1,3,6,nelojalan
26960.94,4,0.34,0.11,1,6,0,nelojalan
18139.14,3,0.42,0.46,1,3,4,nelojalan
178159.33,24,0.09,0.95,1,4,6,bronzana
53183.38,6,0.21,0.37,1,7,4,bronzana
96595.74,15,0.76,0.0,1,7,1,bronzana
51440.05,5,0.18,0.91,1,4,1,nelojalan
14675.38,2,0.61,0.53,1,2,4,nelojalan
15092.11,3,0.53,0.95,0,5,2,nelojalan
4177.2,1,0.79,0.13,1,3,7,nelojalan
4920.8,1,0.37,0.81,1,3,4,nelojalan
38870.52,6,0.48,0.67,0,4,7,nelojalan
17778.76,3,0.3,0.91,1,6,7,nelojalan
14895.44,3,0.08,0.53,1,0,6,nelojalan
11144.19,2,0.46,0.93,0,0,2,nelojalan
10291.37,2,0.09,0.06,1,0,1,nelojalan
74998.44,4,0.05,0.51,1,2,7,nelojalan
10324.98,2,0.99,0.39,1,3,1,nelojalan
9033.41,2,0.84,0.39,1,2,1,nelojalan
6867.96,1,0.19,0.78,0,2,3,nelojalan
27839.96,4,0.44,0.76,0,4,3,nelojalan
35404.79,4,0.63,0.44,0,4,1,nelojalan
75393.52,3,0.83,0.9,1,2,4,nelojalan
52727.47,3,0.24,0.21,0,6,7,nelojalan
-1595.04,1,0.74,0.34,0,0,1,nelojalan
36706.84,4,0.95,0.06,0,7,1,bronzana
14889.46,3,0.56,0.3,1,2,1,nelojalan
22402.33,4,0.95,0.31,0,5,5,nelojalan
7399.8,1,0.05,0.66,0,5,4,nelojalan
21223.22,4,0.42,0.36,1,0,0,nelojalan
6625.28,1,0.94,0.84,1,4,2,nelojalan
7370.0,1,0.45,0.11,0,6,5,nelojalan
2875.0,1,0.43,0.01,1,7,2,bronzana
20901.3,3,0.79,0.75,1,3,4,nelojalan
35573.5,4,0.66,0.7,1,2,0,nelojalan
19285.87,9,0.92,0.28,0,3,3,nelojalan
155448.4,20,0.65,0.27,1,2,0,bronzana
41410.68,8,0.46,0.5,0,0,7,nelojalan
64635.16,15,0.38,0.72,1,4,4,nelojalan
713901.6,5,0.49,0.1,0,2,5,nelojalan
7080.05,1,0.31,0.34,0,1,1,nelojalan
10902.32,2,0.07,0.38,1,5,6,nelojalan
30559.78,5,0.43,0.89,1,0,2,nelojalan
18738.49,3,0.95,0.29,1,0,3,nelojalan
5380.72,1,0.45,0.79,0,2,7,nelojalan
12289.17,2,0.39,0.09,0,3,4,nelojalan
7938.36,2,0.59,0.09,1,2,7,nelojalan
15054.45,3,0.79,0.15,0,7,7,bronzana
40906.33,7,0.18,0.49,1,5,0,nelojalan
44346.13,7,0.52,0.98,1,6,3,nelojalan
55835.56,6,0.07,0.46,0,5,0,nelojalan
33465.85,5,0.77,0.35,1,3,0,nelojalan
10687.2,2,0.67,0.36,1,7,7,bronzana
105183.89,9,0.04,0.75,0,3,4,nelojalan
6600.0,1,0.2,0.66,0,3,7,nelojalan
3989.8,1,0.87,0.05,0,5,1,nelojalan
24730.84,4,0.76,0.26,0,3,0,nelojalan
19239.88,2,0.18,0.15,0,6,5,nelojalan
70596.27,15,0.64,0.96,0,6,0,nelojalan
178798.42,20,0.64,0.35,1,6,4,bronzana
31950.65,6,0.27,0.88,1,2,4,nelojalan
19256.74,3,0.45,0.37,0,1,0,nelojalan
18042.66,3,0.42,0.2,0,7,6,bronzana
52100.04,4,0.78,0.87,1,1,7,nelojalan
21187.0,4,0.63,0.78,0,0,7,nelojalan
15250.81,3,0.79,0.29,1,6,6,nelojalan
18394.43,4,0.08,0.09,1,7,4,bronzana
37856.83,6,0.01,0.58,0,1,2,nelojalan
109200.62,6,0.8,0.66,1,1,7,nelojalan
41156.48,4,0.0,0.53,1,2,5,nelojalan
23484.24,4,0.61,0.67,0,7,6,bronzana
10704.75,2,0.03,0.75,1,7,5,bronzana
6600.0,1,0.33,0.73,0,5,2,nelojalan
56970.48,2,0.56,0.43,1,7,4,bronzana
10211.33,3,0.81,0.94,1,3,7,nelojalan
10437.17,2,0.35,0.4,0,1,7,nelojalan
4600.32,1,0.33,0.2,0,5,5,nelojalan
13931.7,2,0.61,0.81,0,0,5,nelojalan
26844.98,4,0.05,0.42,1,2,3,nelojalan
15784.56,4,0.4,0.7,1,3,2,nelojalan
13625.41,3,0.87,0.22,1,7,7,bronzana
13829.37,2,0.16,0.99,1,4,0,nelojalan
269455.87,29,0.19,0.28,1,0,2,bronzana
47513.95,8,0.47,0.45,1,4,1,nelojalan
2638.32,1,0.79,0.42,1,3,2,nelojalan
2756.35,1,0.55,0.75,1,4,6,nelojalan
-5280.0,1,0.35,0.46,0,6,3,nelojalan
4527.79,1,0.13,0.08,0,7,2,bronzana
26905.92,4,0.57,0.02,1,5,4,nelojalan
58417.4,2,0.46,0.84,1,1,5,nelojalan
11063.06,2,0.6,0.17,0,1,0,nelojalan
7166.0,1,0.61,0.3,0,1,1,nelojalan
45538.76,5,0.25,0.99,0,5,3,nelojalan
26636.77,4,0.42,0.09,1,6,7,nelojalan
9684.0,2,0.34,0.48,1,5,3,nelojalan
10898.16,2,0.43,0.09,0,0,0,nelojalan
12368.11,2,0.16,0.04,1,3,7,nelojalan
9569.84,2,0.49,0.92,0,6,6,nelojalan
19027.25,3,0.99,0.47,1,4,7,nelojalan
33251.64,2,0.47,0.59,0,4,2,nelojalan
16298.82,3,0.36,0.56,1,2,5,nelojalan
11800.08,1,0.42,0.03,0,5,6,nelojalan
9469.48,2,0.0,0.47,1,3,7,nelojalan
24563.02,3,0.76,0.27,1,1,1,nelojalan
25695.64,6,0.79,0.93,0,3,0,nelojalan
5408.0,1,0.68,0.83,1,4,7,nelojalan
36138.05,6,0.04,0.35,1,4,1,nelojalan
28334.17,5,0.14,0.27,1,2,0,nelojalan
11433.66,2,0.61,0.28,0,6,1,nelojalan
21836.48,4,0.6,0.61,1,7,2,bronzana
145645.03,19,0.18,0.22,0,1,0,bronzana
23574.36,4,0.11,0.26,1,2,3,nelojalan
95902.33,4,0.99,0.63,1,1,0,nelojalan
11956.04,3,0.62,0.39,1,7,1,bronzana
8819.82,2,0.16,0.04,0,0,4,nelojalan
33711.84,6,0.91,0.02,0,3,2,nelojalan
